Starting network training
INFO: iteration 50: 263437.78125
INFO: iteration 100: 34416.17578125
INFO: iteration 150: 16110.232421875
INFO: iteration 200: 12432.39453125
INFO: iteration 250: 10050.525390625
INFO: iteration 300: 7856.501953125
INFO: iteration 350: 9291.568359375
INFO: iteration 400: 8760.9111328125
INFO: iteration 450: 7048.1240234375
INFO: iteration 500: 7146.6162109375
INFO: iteration 550: 8800.3623046875
INFO: iteration 600: 7671.77783203125
INFO: iteration 650: 8828.421875
INFO: iteration 700: 6225.466796875
INFO: iteration 750: 6708.296875
INFO: iteration 800: 7339.7265625
INFO: iteration 850: 7957.11669921875
INFO: iteration 900: 6728.0322265625
INFO: iteration 950: 10016.9892578125
INFO: iteration 1000: 4600.78125
INFO: iteration 1050: 8440.3349609375
INFO: iteration 1100: 6054.708984375
INFO: iteration 1150: 7950.51708984375
INFO: iteration 1200: 7583.97412109375
INFO: iteration 1250: 5442.89892578125
INFO: iteration 1300: 7688.984375
INFO: iteration 1350: 7711.00830078125
INFO: iteration 1400: 6132.52197265625
INFO: iteration 1450: 5213.703125
INFO: iteration 1500: 8345.9013671875
INFO: iteration 1550: 7346.04541015625
INFO: iteration 1600: 8450.2138671875
INFO: iteration 1650: 5874.7578125
INFO: iteration 1700: 6318.150390625
INFO: iteration 1750: 5593.84326171875
INFO: iteration 1800: 7871.15966796875
INFO: iteration 1850: 6733.64453125
INFO: iteration 1900: 6825.84521484375
INFO: iteration 1950: 6168.70703125
INFO: iteration 2000: 6323.337890625
INFO: iteration 2050: 5987.8544921875
INFO: iteration 2100: 6442.55517578125
INFO: iteration 2150: 6634.61328125
INFO: iteration 2200: 5764.99609375
INFO: iteration 2250: 6478.26708984375
INFO: iteration 2300: 5991.49267578125
INFO: iteration 2350: 5699.8876953125
INFO: iteration 2400: 4336.75244140625
INFO: iteration 2450: 6652.837890625
INFO: iteration 2500: 6182.3515625
INFO: iteration 2550: 6774.85302734375
INFO: iteration 2600: 3385.437255859375
INFO: iteration 2650: 6628.6787109375
INFO: iteration 2700: 4487.34716796875
INFO: iteration 2750: 6184.79345703125
INFO: iteration 2800: 5610.1826171875
INFO: iteration 2850: 4559.48876953125
INFO: iteration 2900: 5725.44775390625
INFO: iteration 2950: 5679.99755859375
INFO: iteration 3000: 4485.4482421875
INFO: iteration 3050: 4830.4013671875
INFO: iteration 3100: 6168.27001953125
INFO: iteration 3150: 5343.95263671875
INFO: iteration 3200: 6099.3671875
INFO: iteration 3250: 4376.81298828125
INFO: iteration 3300: 4851.912109375
INFO: iteration 3350: 4930.234375
INFO: iteration 3400: 5541.09619140625
INFO: iteration 3450: 4939.32080078125
INFO: iteration 3500: 7009.13232421875
INFO: iteration 3550: 3498.98095703125
INFO: iteration 3600: 5778.63623046875
INFO: iteration 3650: 4158.87451171875
INFO: iteration 3700: 5344.517578125
INFO: iteration 3750: 5493.52197265625
INFO: iteration 3800: 4004.761962890625
INFO: iteration 3850: 5188.572265625
INFO: iteration 3900: 5081.537109375
INFO: iteration 3950: 4080.71826171875
INFO: iteration 4000: 3591.9130859375
INFO: iteration 4050: 5583.13525390625
INFO: iteration 4100: 4549.38232421875
INFO: iteration 4150: 4658.7216796875
INFO: iteration 4200: 4014.06640625
INFO: iteration 4250: 4244.90966796875
INFO: iteration 4300: 3493.0400390625
INFO: iteration 4350: 5158.09814453125
INFO: iteration 4400: 4425.08349609375
INFO: iteration 4450: 4347.23193359375
INFO: iteration 4500: 3837.948486328125
INFO: iteration 4550: 4353.361328125
INFO: iteration 4600: 3856.60400390625
INFO: iteration 4650: 4355.49072265625
INFO: iteration 4700: 4874.00048828125
INFO: iteration 4750: 3940.634521484375
INFO: iteration 4800: 4386.4658203125
INFO: iteration 4850: 4330.51220703125
INFO: iteration 4900: 4070.2685546875
INFO: iteration 4950: 3285.198486328125
INFO: iteration 5000: 4999.45263671875
INFO: iteration 5050: 4507.81689453125
INFO: iteration 5100: 4589.537109375
INFO: iteration 5150: 2892.2080078125
INFO: iteration 5200: 5011.826171875
INFO: iteration 5250: 3453.310546875
INFO: iteration 5300: 4927.9404296875
INFO: iteration 5350: 4339.1123046875
INFO: iteration 5400: 3526.65869140625
INFO: iteration 5450: 4103.39013671875
INFO: iteration 5500: 4529.072265625
INFO: iteration 5550: 3603.703857421875
INFO: iteration 5600: 3956.285888671875
INFO: iteration 5650: 5095.5556640625
INFO: iteration 5700: 3975.268310546875
INFO: iteration 5750: 4354.11474609375
INFO: iteration 5800: 3741.533203125
INFO: iteration 5850: 3954.158447265625
INFO: iteration 5900: 4024.049560546875
INFO: iteration 5950: 4623.6005859375
INFO: iteration 6000: 4080.878662109375
INFO: iteration 6050: 4927.94580078125
INFO: iteration 6100: 3011.00048828125
INFO: iteration 6150: 4693.71142578125
INFO: iteration 6200: 3513.71875
INFO: iteration 6250: 4625.74365234375
INFO: iteration 6300: 4588.5986328125
INFO: iteration 6350: 3231.662353515625
INFO: iteration 6400: 4077.038330078125
INFO: iteration 6450: 4503.93212890625
INFO: iteration 6500: 3652.628173828125
INFO: iteration 6550: 3287.13525390625
INFO: iteration 6600: 5161.40966796875
INFO: iteration 6650: 4167.79345703125
INFO: iteration 6700: 4282.38525390625
INFO: iteration 6750: 3821.064697265625
INFO: iteration 6800: 3973.412109375
INFO: iteration 6850: 3320.7431640625
INFO: iteration 6900: 4903.9130859375
INFO: iteration 6950: 4205.6650390625
INFO: iteration 7000: 4161.31884765625
INFO: iteration 7050: 3632.1904296875
INFO: iteration 7100: 4144.3662109375
INFO: iteration 7150: 3684.548095703125
INFO: iteration 7200: 4184.470703125
INFO: iteration 7250: 4671.98046875
INFO: iteration 7300: 3776.139892578125
INFO: iteration 7350: 4206.38134765625
INFO: iteration 7400: 4196.9423828125
INFO: iteration 7450: 3896.740234375
INFO: iteration 7500: 3154.238037109375
INFO: iteration 7550: 4781.23046875
INFO: iteration 7600: 4337.32470703125
INFO: iteration 7650: 4487.37841796875
INFO: iteration 7700: 2764.430908203125
INFO: iteration 7750: 4820.46240234375
INFO: iteration 7800: 3355.81201171875
INFO: iteration 7850: 4742.78125
INFO: iteration 7900: 4188.10888671875
INFO: iteration 7950: 3418.021728515625
INFO: iteration 8000: 3953.4326171875
INFO: iteration 8050: 4383.986328125
INFO: iteration 8100: 3518.902099609375
INFO: iteration 8150: 3821.7158203125
INFO: iteration 8200: 4942.703125
INFO: iteration 8250: 3839.392822265625
INFO: iteration 8300: 4214.93310546875
INFO: iteration 8350: 3624.084228515625
INFO: iteration 8400: 3826.3369140625
INFO: iteration 8450: 3890.35205078125
INFO: iteration 8500: 4450.82666015625
INFO: iteration 8550: 3910.529541015625
INFO: iteration 8600: 4675.17041015625
INFO: iteration 8650: 2880.364501953125
INFO: iteration 8700: 4547.1591796875
INFO: iteration 8750: 3380.806640625
INFO: iteration 8800: 4477.033203125
INFO: iteration 8850: 4343.43310546875
INFO: iteration 8900: 2977.354248046875
INFO: iteration 8950: 3745.24462890625
INFO: iteration 9000: 4347.17822265625
INFO: iteration 9050: 3438.322509765625
INFO: iteration 9100: 3069.843994140625
INFO: iteration 9150: 4662.99951171875
INFO: iteration 9200: 3736.5966796875
INFO: iteration 9250: 3645.077880859375
INFO: iteration 9300: 3457.09423828125
INFO: iteration 9350: 3508.82080078125
INFO: iteration 9400: 2832.603515625
INFO: iteration 9450: 4133.36572265625
INFO: iteration 9500: 3642.142578125
INFO: iteration 9550: 3467.15576171875
INFO: iteration 9600: 3044.824951171875
INFO: iteration 9650: 3613.217041015625
INFO: iteration 9700: 3046.959228515625
INFO: iteration 9750: 3385.882080078125
INFO: iteration 9800: 3940.060791015625
INFO: iteration 9850: 3077.680419921875
INFO: iteration 9900: 3482.714111328125
INFO: iteration 9950: 3527.1337890625
INFO: iteration 10000: 3212.798095703125
INFO: iteration 10050: 2592.6962890625
INFO: iteration 10100: 3800.824951171875
INFO: iteration 10150: 3521.322509765625
INFO: iteration 10200: 3506.236328125
INFO: iteration 10250: 2329.451171875
INFO: iteration 10300: 3914.98779296875
INFO: iteration 10350: 2641.154541015625
INFO: iteration 10400: 3647.455078125
INFO: iteration 10450: 3320.256591796875
INFO: iteration 10500: 2703.4990234375
INFO: iteration 10550: 3091.815185546875
INFO: iteration 10600: 3424.6171875
INFO: iteration 10650: 2759.134033203125
INFO: iteration 10700: 2823.874755859375
INFO: iteration 10750: 3713.87939453125
INFO: iteration 10800: 2923.067138671875
INFO: iteration 10850: 3081.2705078125
INFO: iteration 10900: 2853.980712890625
INFO: iteration 10950: 3004.5068359375
INFO: iteration 11000: 2778.92041015625
INFO: iteration 11050: 3186.636474609375
INFO: iteration 11100: 2973.07666015625
INFO: iteration 11150: 3305.565673828125
INFO: iteration 11200: 2264.16650390625
INFO: iteration 11250: 3312.678466796875
INFO: iteration 11300: 2440.81103515625
INFO: iteration 11350: 3151.574951171875
INFO: iteration 11400: 3171.9365234375
INFO: iteration 11450: 2175.746337890625
INFO: iteration 11500: 2735.72119140625
INFO: iteration 11550: 3134.4345703125
INFO: iteration 11600: 2546.064208984375
INFO: iteration 11650: 2189.86279296875
INFO: iteration 11700: 3357.55517578125
INFO: iteration 11750: 2659.384765625
INFO: iteration 11800: 2577.36865234375
INFO: iteration 11850: 2637.389404296875
INFO: iteration 11900: 2723.943603515625
INFO: iteration 11950: 2139.531005859375
INFO: iteration 12000: 2962.2001953125
INFO: iteration 12050: 2694.443359375
INFO: iteration 12100: 2521.897216796875
INFO: iteration 12150: 2197.757080078125
INFO: iteration 12200: 2732.471923828125
INFO: iteration 12250: 2275.04150390625
INFO: iteration 12300: 2462.92431640625
INFO: iteration 12350: 2847.220703125
INFO: iteration 12400: 2205.68798828125
INFO: iteration 12450: 2449.108154296875
INFO: iteration 12500: 2563.488037109375
INFO: iteration 12550: 2405.110595703125
INFO: iteration 12600: 1920.8743896484375
INFO: iteration 12650: 2688.765380859375
INFO: iteration 12700: 2409.738525390625
INFO: iteration 12750: 2379.86083984375
INFO: iteration 12800: 1860.835693359375
INFO: iteration 12850: 2775.243408203125
INFO: iteration 12900: 1964.9658203125
INFO: iteration 12950: 2486.418701171875
INFO: iteration 13000: 2352.978271484375
INFO: iteration 13050: 1973.300048828125
INFO: iteration 13100: 2120.291259765625
INFO: iteration 13150: 2451.555908203125
INFO: iteration 13200: 2027.1651611328125
INFO: iteration 13250: 2043.5797119140625
INFO: iteration 13300: 2608.20166015625
INFO: iteration 13350: 1991.2696533203125
INFO: iteration 13400: 2087.797607421875
INFO: iteration 13450: 2082.984130859375
INFO: iteration 13500: 2239.4873046875
INFO: iteration 13550: 1995.630859375
INFO: iteration 13600: 2191.16845703125
INFO: iteration 13650: 2098.635986328125
INFO: iteration 13700: 2238.88623046875
INFO: iteration 13750: 1732.779541015625
INFO: iteration 13800: 2336.993408203125
INFO: iteration 13850: 1829.3770751953125
INFO: iteration 13900: 2098.76416015625
INFO: iteration 13950: 2191.45703125
INFO: iteration 14000: 1685.8779296875
INFO: iteration 14050: 1946.67724609375
INFO: iteration 14100: 2148.989501953125
INFO: iteration 14150: 1887.7269287109375
INFO: iteration 14200: 1683.8013916015625
INFO: iteration 14250: 2262.490234375
INFO: iteration 14300: 1878.1375732421875
INFO: iteration 14350: 1841.0233154296875
